target,feature,n,pearson,spearman,abs_spearman,abs_pearson
gpr_abs_residual,cov_dim_53,278,0.427932808943516,0.6146046721159101,0.6146046721159101,0.427932808943516
gpr_abs_residual,cov_dim_52,278,-0.4223207951563258,-0.608219535673915,0.608219535673915,0.4223207951563258
gpr_abs_residual,cov_dim_56,278,-0.4223207951563258,-0.608219535673915,0.608219535673915,0.4223207951563258
gpr_abs_residual,cov_dim_69,278,-0.4223207951563258,-0.608219535673915,0.608219535673915,0.4223207951563258
gpr_abs_residual,cov_dim_57,278,0.41611826097590754,0.5784179608617055,0.5784179608617055,0.41611826097590754
gpr_abs_residual,sibling_count,278,0.7232628207851253,0.5757200969525572,0.5757200969525572,0.7232628207851253
gpr_abs_residual,undirected_degree,278,0.7697760365732618,0.5726613649167641,0.5726613649167641,0.7697760365732618
gpr_abs_residual,child_cov_spread_anisotropy,172,0.4058076529682402,0.5622537865241025,0.5622537865241025,0.4058076529682402
gpr_abs_residual,child_out_degree_mean,254,0.41349306257293517,0.5602061752645215,0.5602061752645215,0.41349306257293517
gpr_abs_residual,cov_dim_28,278,-0.34646858115303314,-0.5513283251354013,0.5513283251354013,0.34646858115303314
gpr_abs_residual,cov_dim_40,278,-0.34646858115303314,-0.5513283251354013,0.5513283251354013,0.34646858115303314
gpr_abs_residual,cov_dim_60,278,-0.34646858115303314,-0.5513283251354013,0.5513283251354013,0.34646858115303314
gpr_abs_residual,cov_dim_65,278,-0.34646858115303314,-0.5513283251354013,0.5513283251354013,0.34646858115303314
gpr_abs_residual,parent_out_degree_mean,235,0.5059301097639595,0.5501914453353635,0.5501914453353635,0.5059301097639595
gpr_abs_residual,cov_dim_18,278,-0.3413372262999858,-0.5407105508676335,0.5407105508676335,0.3413372262999858
gpr_abs_residual,out_degree_children,278,0.7754991444410697,0.5381213630522627,0.5381213630522627,0.7754991444410697
gpr_abs_residual,child_cov_dist_std,254,0.364862502819909,0.5331632665743428,0.5331632665743428,0.364862502819909
gpr_abs_residual,in_degree_parents,278,0.7162533745875015,0.528544482348745,0.528544482348745,0.7162533745875015
gpr_abs_residual,cov_dim_70,278,0.3539850865816559,0.5011277592837924,0.5011277592837924,0.3539850865816559
gpr_abs_residual,cov_dim_61,278,0.3322410674214673,0.48584627020382304,0.48584627020382304,0.3322410674214673
gpr_abs_residual,neighbor_cov_dist_std,278,0.27994950365281573,0.43478541102190743,0.43478541102190743,0.27994950365281573
gpr_abs_residual,cov_dim_41,278,0.23531836653828758,0.41595312253359124,0.41595312253359124,0.23531836653828758
gpr_abs_residual,cov_dim_67,278,0.2545950054038516,0.40592878595886633,0.40592878595886633,0.2545950054038516
gpr_abs_residual,child_cov_dist_max,254,0.3002372804148622,0.38749937932728207,0.38749937932728207,0.3002372804148622
gpr_abs_residual,descendant_count,278,0.25855340555760903,0.35317061971146707,0.35317061971146707,0.25855340555760903
gpr_abs_residual,cov_dim_04,278,-0.18143363860887876,-0.34588516358293,0.34588516358293,0.18143363860887876
gpr_abs_residual,cov_dim_11,278,-0.18143363860887876,-0.34588516358293,0.34588516358293,0.18143363860887876
gpr_abs_residual,cov_dim_15,278,-0.18143363860887876,-0.34588516358293,0.34588516358293,0.18143363860887876
gpr_abs_residual,cov_dim_37,278,0.23608145445706444,0.3456217315752171,0.3456217315752171,0.23608145445706444
gpr_abs_residual,cov_dim_29,278,0.12422506236094077,0.3442138912054805,0.3442138912054805,0.12422506236094077
gpr_abs_residual,knn10_mean_dist,278,0.22026645216200844,0.3386321513665894,0.3386321513665894,0.22026645216200844
gpr_abs_residual,cov_dim_13,278,0.2356703126820507,0.3271737654349204,0.3271737654349204,0.2356703126820507
gpr_abs_residual,knn10_max_dist,278,0.20096806552374996,0.30711141367759076,0.30711141367759076,0.20096806552374996
gpr_abs_residual,knn5_mean_dist,278,0.20674658186769557,0.3068024972036223,0.3068024972036223,0.20674658186769557
gpr_abs_residual,knn5_max_dist,278,0.19369749234195496,0.2969632599604049,0.2969632599604049,0.19369749234195496
gpr_abs_residual,cov_dim_07,278,0.26042184252033757,0.29631370243509875,0.29631370243509875,0.26042184252033757
gpr_abs_residual,cov_dim_26,278,0.26002881572183284,0.284728745059503,0.284728745059503,0.26002881572183284
gpr_abs_residual,knn25_mean_dist,278,0.1752164464035208,0.28355650327111837,0.28355650327111837,0.1752164464035208
gpr_abs_residual,cov_dim_24,278,-0.19373777494938346,-0.2828258494492734,0.2828258494492734,0.19373777494938346
gpr_abs_residual,depth,224,0.07095394110482442,0.27760820068314224,0.27760820068314224,0.07095394110482442
gpr_abs_residual,is_root,278,-0.14156506412648584,-0.2772520273121015,0.2772520273121015,0.14156506412648584
gpr_abs_residual,cov_dim_20,278,0.18751071165403418,0.2739311376794512,0.2739311376794512,0.18751071165403418
gpr_abs_residual,child_cov_spread_max_eig,177,-0.18774812250059422,-0.25558984712008714,0.25558984712008714,0.18774812250059422
gpr_abs_residual,cov_dim_32,278,-0.16321404997556826,-0.25181309552523284,0.25181309552523284,0.16321404997556826
gpr_abs_residual,cov_dim_36,278,-0.16321404997556826,-0.25181309552523284,0.25181309552523284,0.16321404997556826
