node,true_out_degree,gpr_mean,gpr_std,gpr_residual_true_minus_mean,gpr_abs_residual,status,is_root,depth,out_degree_children,in_degree_parents,undirected_degree,sibling_count,descendant_count,parent_out_degree_mean,child_out_degree_mean,child_cov_dist_mean,child_cov_dist_std,child_cov_dist_max,parent_cov_dist_mean,neighbor_cov_dist_mean,neighbor_cov_dist_std,child_cov_spread_trace,child_cov_spread_max_eig,child_cov_spread_anisotropy,nn_dist,knn5_mean_dist,knn5_max_dist,knn10_mean_dist,knn10_max_dist,knn25_mean_dist,knn25_max_dist,cov_dim_00,cov_dim_01,cov_dim_02,cov_dim_03,cov_dim_04,cov_dim_05,cov_dim_06,cov_dim_07,cov_dim_08,cov_dim_09,cov_dim_10,cov_dim_11,cov_dim_12,cov_dim_13,cov_dim_14,cov_dim_15,cov_dim_16,cov_dim_17,cov_dim_18,cov_dim_19,cov_dim_20,cov_dim_21,cov_dim_22,cov_dim_23,cov_dim_24,cov_dim_25,cov_dim_26,cov_dim_27,cov_dim_28,cov_dim_29,cov_dim_30,cov_dim_31,cov_dim_32,cov_dim_33,cov_dim_34,cov_dim_35,cov_dim_36,cov_dim_37,cov_dim_38,cov_dim_39,cov_dim_40,cov_dim_41,cov_dim_42,cov_dim_43,cov_dim_44,cov_dim_45,cov_dim_46,cov_dim_47,cov_dim_48,cov_dim_49,cov_dim_50,cov_dim_51,cov_dim_52,cov_dim_53,cov_dim_54,cov_dim_55,cov_dim_56,cov_dim_57,cov_dim_58,cov_dim_59,cov_dim_60,cov_dim_61,cov_dim_62,cov_dim_63,cov_dim_64,cov_dim_65,cov_dim_66,cov_dim_67,cov_dim_68,cov_dim_69,cov_dim_70,cov_dim_71,cov_sum,cov_l2_norm,cov_nonzero_count
5,3.0,5.498552142275729,5.371956768313427,-2.498552142275729,2.498552142275729,0,0,,3,1,3,1,319,2.0,2.6666666666666665,2.7641762466279816,0.5994411377088196,3.4641016151377544,2.0,2.7641762466279816,0.5994411377088196,3.666666666666667,2.715250437021529,2.8539038460950734,2.0,2.0,2.0,2.0,2.0,2.2696938456699067,2.449489742783178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,4.123105625617661,17
13,5.0,12.73887985469107,4.0060428227597225,-7.738879854691071,7.738879854691071,0,0,2.0,5,4,5,116,316,30.0,24.0,2.2383016450900604,0.7681183148364125,3.4641016151377544,2.1855046206667805,2.2383016450900604,0.7681183148364125,4.2,2.8792988965297956,7.9444064839071356,0.0,1.131370849898476,1.4142135623730951,1.272792206135786,1.4142135623730951,1.6856854249492381,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,4.123105625617661,17
16,7.0,18.485497616148713,4.391516136004119,-11.485497616148713,11.485497616148713,0,0,2.0,7,7,9,147,316,22.0,20.285714285714285,2.527269431571163,0.6856034403274458,3.4641016151377544,2.813691654624872,2.7327578964378287,0.7294067997055503,4.952380952380952,2.7137088941456375,52.96318931123045,1.4142135623730951,1.5313708498984762,2.0,1.765685424949238,2.0,2.0501108876703125,2.449489742783178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,4.123105625617661,17
19,2.0,1.1065709655279856,1.716740397576459,0.8934290344720144,0.8934290344720144,0,0,2.0,2,2,3,16,316,9.0,2.5,2.414213562373095,0.41421356237309515,2.8284271247461903,3.285042255760066,2.856694837173377,0.7113095486028841,2.0,1.9999999999999996,1.0,1.4142135623730951,1.9454813220625091,2.449489742783178,2.1974855324228435,2.449489742783178,2.4547905255886873,2.8284271247461903,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,4.123105625617661,17
32,6.0,7.900398709198349,1.6974456304062682,-1.900398709198349,1.900398709198349,0,0,1.0,6,6,7,23,316,4.833333333333333,5.0,2.328341216238639,0.4954733569335934,2.8284271247461903,2.3283412162386385,2.399782060311146,0.49096442132683255,2.666666666666667,0.9322161969695283,14.563290927647133,1.4142135623730951,1.6485281374238572,2.0,1.8242640687119285,2.0,2.12748111430937,2.449489742783178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,4.123105625617661,17
34,8.0,5.633156075769881,4.4178446850452735,2.3668439242301194,2.3668439242301194,0,0,1.0,8,8,9,24,316,4.0,3.875,2.1730326074756157,0.5271899912249153,2.8284271247461903,2.125665434730239,2.2037500669542336,0.5045758154235307,3.0357142857142856,1.121765875738742,15.03943367337841,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.5899494936611667,2.0,1.8359797974644665,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,4.123105625617661,17
37,1.0,3.678569201098163,1.210873618293414,-2.678569201098163,2.678569201098163,0,0,,1,1,1,0,1,1.0,1.0,1.4142135623730951,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.0,,,,0.0,0.0,0.0,0.7071067811865476,1.4142135623730951,1.3188225099390853,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,4.123105625617661,17
39,43.0,5.876826799111106,6.03555657576711,37.12317320088889,37.12317320088889,0,0,1.0,43,47,49,887,316,19.872340425531913,20.837209302325583,2.5332243664237266,0.48367044571152185,3.7416573867739413,2.5919848422995133,2.6084488239386063,0.5071678446916953,3.0155038759689914,0.7489553857465834,104.68883520625421,2.0,2.0,2.0,2.134846922834954,2.449489742783178,2.323632614803888,2.449489742783178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,4.123105625617661,17
41,5.0,6.267133242584853,1.7154263718779754,-1.267133242584853,1.267133242584853,0,0,2.0,5,6,7,108,316,19.0,15.8,1.8950941416215659,1.0993717271203673,3.1622776601683795,1.975734681678474,2.0434139761220034,0.9835224781602143,4.0,2.0692581598654285,12.02701469756777,1.4142135623730951,1.6485281374238572,2.0,1.959110991546882,2.449489742783178,2.2533382422886596,2.449489742783178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,4.123105625617661,17
42,16.0,7.77707155252417,4.721455860064972,8.22292844747583,8.22292844747583,0,0,2.0,16,14,16,265,316,19.928571428571427,17.9375,2.438497725809561,0.55111599615834,3.4641016151377544,2.386014015000101,2.438497725809561,0.55111599615834,4.199999999999999,1.3203537299656816,310.6755618180939,1.4142135623730951,1.765685424949238,2.0,1.8828427124746192,2.0,2.0789942129691372,2.449489742783178,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17.0,4.123105625617661,17
